Date,Ping (ms),Download (Mbps),Upload (Mbps)
2020-06-19 18:00:35.134391,58.0,6.16,1.12
2020-06-19 18:30:33.284813,40.0,6.15,1.03
2020-06-19 19:00:33.164304,46.0,6.19,1.06
2020-06-19 19:30:32.086638,45.0,6.07,1.26
2020-06-19 20:00:35.797516,42.0,5.99,1.06
2020-06-19 20:30:32.048749,58.0,6.05,1.17
2020-06-19 21:00:33.288527,59.0,5.79,1.21
2020-06-19 21:30:34.562946,44.0,6.06,1.17
2020-06-19 22:00:37.236407,41.0,5.97,1.02
2020-06-19 22:30:26.690241,46.0,6.1,1.15
2020-06-19 23:00:27.423276,45.0,6.15,1.2
2020-06-19 23:30:28.022472,54.0,6.19,1.06
2020-06-20 00:00:40.597895,45.0,5.94,0.93
2020-06-20 00:30:28.409136,48.0,6.16,1.06
2020-06-20 01:00:30.324504,53.0,5.97,1.12
2020-06-20 01:30:29.278857,48.0,6.13,0.91
2020-06-20 02:00:30.225579,46.0,6.15,1.07
2020-06-20 02:30:27.488818,46.0,6.12,1.12
2020-06-20 03:00:32.895663,45.0,6.09,1.1
2020-06-20 03:30:29.705743,100.0,3.73,1.08
2020-06-20 04:00:29.082731,53.0,6.16,1.06
2020-06-20 04:30:27.563138,40.0,6.16,1.1
2020-06-20 05:00:28.506181,44.0,6.08,1.21
2020-06-20 05:30:30.502764,54.0,6.18,0.94
2020-06-20 06:00:32.778689,74.0,5.18,1.0
2020-06-20 06:30:27.571371,44.0,6.17,1.11
2020-06-20 07:00:33.983684,47.0,6.0,1.16
2020-06-20 07:30:26.551760,49.0,6.09,1.2
2020-06-20 08:00:35.143336,55.0,5.49,1.01
2020-06-20 08:30:30.062118,40.0,6.11,0.94
2020-06-20 09:00:28.690209,56.0,6.07,1.13
2020-06-20 09:30:28.387451,44.0,5.91,1.06
2020-06-20 10:00:30.486573,45.0,6.2,1.07
2020-06-20 10:30:27.514264,54.0,6.25,1.15
2020-06-20 11:00:34.396436,55.0,6.18,1.06
2020-06-20 11:30:27.384510,45.0,6.15,1.13
2020-06-20 12:00:37.488212,44.0,6.17,1.18
2020-06-20 12:30:29.277078,45.0,6.12,1.05
2020-06-20 13:00:28.680339,60.0,6.02,1.1
2020-06-20 13:30:27.119934,47.0,6.13,1.14
2020-06-20 14:00:28.579714,58.0,6.11,1.19
2020-06-20 14:30:26.792773,44.0,6.04,1.19
2020-06-20 15:00:29.927561,60.0,6.07,1.13
2020-06-20 15:30:28.085171,44.0,5.97,1.13
2020-06-20 16:00:27.663065,60.0,6.14,1.2
2020-06-20 16:30:27.267524,44.0,6.09,1.17
2020-06-20 17:00:34.745987,50.0,6.13,1.08
2020-06-20 17:30:29.203818,45.0,5.12,1.07
2020-06-20 18:00:43.125442,68.0,4.18,0.99
